Time [hours],Lum [cps],Line #,Normalized Lum Data [cps/gFW]
0,21,Tak1,83.00395256916995
0,20,Tak1,63.69426751592356
0,42,Tak1,144.82758620689657
0,39,Tak1,185.71428571428572
0,48,Tak2,263.73626373626377
0,26,Tak2,108.33333333333334
0,48,Tak2,229.66507177033495
0,108,Tak2,504.6728971962617
0,6782,#18,40369.04761904762
0,2160,#18,74740.48442906575
0,597,#18,103645.83333333333
0,2058,#18,59825.58139534884
0,734,#27,102657.34265734266
0,3522,#27,51416.05839416058
0,16287,#8,51541.13924050633
0,9842,#8,50471.79487179487
0,7020,#8,35634.51776649746
0,5757,#8,20634.408602150535
2,2665,Tak1,10533.596837944664
2,2810,Tak1,8949.044585987262
2,2984,Tak1,10289.655172413793
2,2144,Tak1,10209.52380952381
2,3118,Tak2,17131.868131868134
2,2386,Tak2,9941.666666666668
2,2258,Tak2,10803.827751196173
2,3188,Tak2,14897.196261682244
2,9109,#18,54220.23809523809
2,4802,#18,166159.1696
2,1284,#18,222916.66666666666
2,4323,#18,125668.6046511628
2,1581,#27,221118.8811188811
2,7096,#27,103591.2408759124
2,23422,#8,74120.25316455695
2,19249,#8,98712.82051282052
2,12392,#8,62903.553299492385
2,8922,#8,31978.49462365591
4,2311,Tak1,9134.387351778656
4,2406,Tak1,7662.420382165605
4,2589,Tak1,8927.586206896553
4,1812,Tak1,8628.571429
4,2743,Tak2,15071.428571428572
4,2024,Tak2,8433.333333333334
4,1853,Tak2,8866.028708133972
4,2629,Tak2,12285.046728971964
4,7529,#18,44815.47619047619
4,3570,#18,123529.41176470589
4,855,#18,148437.5
4,3103,#18,90203.48837209302
4,991,#27,138601.3986013986
4,4437,#27,64773.722627737225
4,13593,#8,43015.82278481012
4,11599,#8,59482.05128205128
4,7293,#8,37020.304568527914
4,5795,#8,20770.609318996412
6,0,Tak1,0
6,0,Tak1,0
6,0,Tak1,0
6,0,Tak1,0
6,0,Tak2,0
6,0,Tak2,0
6,0,Tak2,0
6,0,Tak2,0
6,16,#18,95.23809523809523
6,89,#18,3079.5847750865055
6,4,#18,694.4444444444445
6,307,#18,8924.418604651162
6,2,#27,279.72027972027973
6,657,#27,9591.240875912408
