Well,Light cond.,Line #,gFW,RawLum,LumNegCtrl,Lum/gFW,mg Luc/gFW
B1,W+FR,8,0.0374,21714.8,21664.8,579272.7273,0.000140734
B2,W+FR,8,0.0459,28199.8,28149.8,613285.4031,0.000148997
B3,W+FR,8,0.0426,7500.25,7450.25,174888.4977,4.24891e-05
B4,W+FR,27,0.0628,30949.3,30899.3,492027.0701,0.000119538
B5,W+FR,27,0.0474,26501.1,26451.1,558040.0844,0.000135576
B6,W+FR,27,0.0679,30439,30389,447555.2283,0.000108733
B7,W+FR,37,0.0769,2086.17,2036.17,26478.15345,6.43285e-06
B8,W+FR,37,0.107,19245.8,19195.8,179400,4.35851e-05
C1,W+FR,37,0.118,50592.2,50542.2,428323.7288,0.000104061
C2,W,8,0.0613,3637.53,3587.53,58524.14356,1.42184e-05
C3,W,8,0.104,39279.6,39229.6,377207.6923,9.16424e-05
C4,W,8,0.0329,4758.91,4708.91,143127.9635,3.47729e-05
C5,W,27,0.0426,25786.6,25736.6,604145.5399,0.000146777
C6,W,27,0.0507,29924.8,29874.8,589246.5483,0.000143157
C7,W,27,0.0801,165160,165110,2061298.377,0.000500791
C8,W,37,0.0816,3935.62,3885.62,47617.89216,1.15687e-05
D1,W,37,0.0567,14987,14937,263439.1534,6.40024e-05
D2,W,37,0.185,10873.7,10823.7,58506.48649,1.42141e-05
D3,FR,8,0.0784,8923.19,8873.19,113178.4439,2.74966e-05
D4,FR,8,0.0696,8016.57,7966.57,114462.2126,2.78085e-05
D5,FR,8,0.0371,12162.9,12112.9,326493.2615,7.93214e-05
D6,FR,27,0.0639,5772.33,5722.33,89551.3302,2.17565e-05
D7,FR,27,0.0522,11967.7,11917.7,228308.4291,5.54674e-05
D8,FR,27,0.0771,10168.1,10118.1,131233.463,3.18831e-05
E1,FR,37,0.0673,10386.3,10336.3,153585.4383,3.73135e-05
E2,FR,37,0.105,49721.7,49671.7,473063.8095,0.000114931
E3,FR,37,0.0652,5564.24,5514.24,84574.23313,2.05473e-05
E4,Red,8,0.0365,45760.6,45710.6,1252345.205,0.000304257
E5,Red,8,0.0427,141941,141891,3322974.239,0.000807315
E6,Red,8,0.0729,58357.9,58307.9,799834.0192,0.000194319
E7,Red,27,0.0347,106405,106355,3064985.591,0.000744637
E8,Red,27,0.0208,93630.4,93580.4,4499057.692,0.001093044
F1,Red,27,0.034,86818.5,86768.5,2552014.706,0.000620011
F2,Red,37,0.0854,4037.65,3987.65,46693.79391,1.13442e-05
F3,Red,37,0.1,4139.69,4089.69,40896.9,9.93588e-06
F4,Red,37,0.0943,16670.1,16620.1,176247.0838,4.28191e-05
F5,Dark,8,0.0485,13766.6,13716.6,282816.4948,6.87101e-05
F6,Dark,8,0.037,5645.27,5595.27,151223.5135,3.67397e-05
F7,Dark,8,0.0661,37898.4,37848.4,572593.0408,0.000139111
F8,Dark,27,0.0654,33767.6,33717.6,515559.633,0.000125255
G1,Dark,27,0.0354,3455.48,3405.48,96200,2.33717e-05
G2,Dark,27,0.0449,37534.3,37484.3,834839.6437,0.000202824
G3,Dark,37,0.0619,26720.5,26670.5,430864.2973,0.000104678
G4,Dark,37,0.135,7254.1,7204.1,53363.7037,1.29647e-05
G5,Dark,37,0.13,2420.23,2370.23,18232.53846,4.42959e-06
