Well,Day,Line #,gFW,RawLum,LumNegCtrl,RawLumNegCtrl/gFW,Luc/gFW
B1,0,8,0.0456,16703.2,16684.2,365881.5789,8.29016e-05
B2,0,8,0.105,29740.3,29721.3,283060.0,6.41359e-05
B3,0,8,0.101,22026.4,22007.4,217895.0495,4.93708e-05
B4,0,27,0.056,15788.0,15769.0,281589.2857,6.38026e-05
B5,0,27,0.0476,25829.7,25810.7,542241.5966,0.000122861
B6,0,27,0.0886,39296.7,39277.7,443314.8984,0.000100447
B7,0,37,0.047,33.0,14.0,297.8723404,6.74921e-08
B8,0,37,0.0293,140.001,121.001,4129.726962,9.35716e-07
C1,0,37,0.0441,3303.44,3284.44,74477.09751,1.68751e-05
C2,3,8,0.158,299192.0,299173.0,1893500.0,0.00042903
C3,3,8,0.153,253759.0,253740.0,1658431.373,0.000375768
C4,3,8,0.191,307053.0,307034.0,1607507.853,0.00036423
C5,3,27,0.157,714336.0,714317.0,4549789.809,0.001030894
C6,3,27,0.144,429174.0,429155.0,2980243.056,0.000675265
C7,3,27,0.0979,408149.0,408130.0,4168845.761,0.000944579
C8,3,37,0.143,76.0002,57.0002,398.6027972,9.03156e-08
D1,3,37,0.0345,58954.7,58935.7,1708281.159,0.000387063
D2,3,37,0.0604,165138.0,165119.0,2733758.278,0.000619416
D3,6,8,0.185,45626.1,45607.1,246524.8649,5.58577e-05
D4,6,8,0.107,43792.6,43773.6,409099.0654,9.26939e-05
D5,6,8,0.186,45906.1,45887.1,246704.8387,5.58985e-05
D6,6,27,0.181,155114.0,155095.0,856878.453,0.000194152
D7,6,27,0.171,62153.1,62134.1,363357.3099,8.23297e-05
D8,6,27,0.174,54011.4,53992.4,310301.1494,7.03082e-05
E1,6,37,0.174,516.011,497.011,2856.385057,6.47201e-07
E2,6,37,0.0494,664.018,645.018,13057.04453,2.95847e-06
E3,6,37,0.0523,20637.0,20618.0,394225.6214,8.93238e-05
E4,9,8,0.181,385881.0,385862.0,2131834.254,0.000483032
E5,9,8,0.27,279627.0,279608.0,1035585.185,0.000234643
E6,9,8,0.144,345930.0,345911.0,2402159.722,0.000544283
E7,9,27,0.106,408274.0,408255.0,3851462.264,0.000872666
E8,9,27,0.0933,206232.0,206213.0,2210214.362,0.000500792
F1,9,27,0.118,308144.0,308125.0,2611228.814,0.000591654
F2,9,37,0.104,8218.7,8199.7,78843.26923,1.78643e-05
F3,9,37,0.145,60.0001,41.0001,282.7593103,6.40678e-08
F4,9,37,0.0984,4895.96,4876.96,49562.60163,1.12299e-05
F5,12,8,0.131,29307.3,29288.3,223574.8092,5.06577e-05
F6,12,8,0.111,58745.7,58726.7,529069.3694,0.000119877
F7,12,8,0.147,52317.3,52298.3,355770.7483,8.06107e-05
F8,12,27,0.113,118219.0,118200.0,1046017.699,0.000237007
G1,12,27,0.125,76946.1,76927.1,615416.8,0.000139441
G2,12,27,0.113,65606.7,65587.7,580422.1239,0.000131512
G3,12,37,0.0867,18489.7,18470.7,213041.5225,4.82711e-05
G4,12,37,0.076,91.0003,72.0003,947.3723684,2.14656e-07
G5,12,37,0.0957,76.0002,57.0002,595.6133751,1.34954e-07
