Line #,Amount PHB [mg],% PHB/gFW
112,0.048478922,0.029029294610778446
112,0.051060959,0.023749283255813956
88,0.011162089,0.043945232283464565
88,0.028974207,0.045628672
25,0.030864958,0.013478147598253276
25,0.013068714,0.005994823
18,0.00786337,0.009405945
18,0.014096942,0.009274304
112,0.017663644,0.051050994
112,0.050692667,0.021756509442060083
88,0.015824033,0.029249599
88,0.046986663,0.026397001685393263
25,0.012938321,0.011153724999999998
25,0.014223986,0.011288877777777777
18,0.022672417,0.009254048
18,0.013090046,0.009554778
3,0.029686767,0.012963653711790393
3,0.0344505,0.018324734042553192
3,0.010510049,0.007902292
3,0.027312649,0.014843830978260869
112,0.018921028,0.024351387387387388
112,0.047093014,0.024027047959183673
88,0.026638515,0.037204629888268156
88,0.01306622,0.043265629
18,0.013078933,0.005918069
18,0.013525499,0.006900765
25,0.02854895,0.020991874999999997
25,0.014990356,0.008146933
3,0.032584965,0.013354493852459017
3,0.021137744,0.009033224
