Line #,Day,Amount PHB [mg],% PHB/gFW,Total mg PHB
112,15,0.079691447,0.032263743724696356,0.396844048
43,9,0.017460962,0.01396877,0.017460962
88,9,0.039088629,0.032039859836065575,0.039088629
112,9,0.045972514,0.047296825,0.045972514
43,6,0.015314619,0.016205946,0.015314619
112,6,0.025665867,0.046835524,0.025665867
88,6,0.022303865,0.026086391812865494,0.022303865
112,3,0.011400617,0.056438698,0.011400617
88,3,0.009191287,0.031156905084745765,0.009191287
43,3,0.005007611,0.020522995901639345,0.005007611
88,3,0.006178229,0.025217261224489796,0.006178229
43,3,0.006297175,0.016659193121693124,0.006297175
43,6,0.009678541,0.021507868888888892,0.009678541
88,6,0.034191963,0.027574164,0.034191963
112,6,0.046020673,0.054851815256257444,0.046020673
112,9,0.063253409,0.041342097,0.063253409
43,12,0.035389243,0.015188516309012877,0.10313002573364088
43,15,0.058058195,0.024190914583333334,0.23126514339731394
43,15,0.025053909,0.042900529,0.025053909
88,15,0.036077326,0.030574005084745764,0.3485436579605984
43,15,0.021999345,0.021153216346153848,0.094554877
112,15,0.072886113,0.055638254198473285,0.3154689013192531
88,15,0.086733167,0.047655586,0.2811679589770124
88,12,0.086361055,0.038554042410714286,0.12799942079123414
112,3,0.013211317,0.04090191,0.013211317
112,9,0.068954918,0.038738718,0.068954918
112,9,0.038399696,0.032820253,0.038399696
88,9,0.036382296,0.025265483,0.036382296
88,9,0.051267634,0.025254992118226596,0.051267634
43,9,0.013195875,0.013329166666666665,0.013195875
43,9,0.022663949,0.013652981325301202,0.022663949
43,12,0.027410326,0.017570721794871794,0.08592083
43,12,0.017330086,0.022390291989664086,0.047019613
88,12,0.090290512,0.039256744347826084,0.19667628922186545
88,12,0.071487929,0.041562749,0.138819583
88,3,0.009886553,0.029959251515151508,0.009886553
112,3,0.010132565,0.042573803,0.010132565
43,3,0.004679337,0.020889897321428576,0.004679337
112,6,0.02466046,0.033056916890080425,0.02466046
43,6,0.0094841,0.013063498622589532,0.0094841
88,6,0.00717141,0.025430531914893615,0.00717141
112,12,0.07082002,0.027238469230769228,0.18331489789039074
112,12,0.071625593,0.028310511067193674,0.18401832190278627
88,15,0.051699601,0.041359681,0.16998828808799998
112,12,0.071432573,0.032918236,0.25709142632620136
25,3,0.003414341,0.012552724264705883,0.003414341
25,3,0.004993086,0.021337974358974356,0.004993086
18,3,0.003203458,0.01601729,0.003203458
3,12,0.002298088,0.001574033,0.004973944
18,12,0.005369729,0.002365519,0.014500633821346642
3,15,0.08525866,0.062232599,0.08525866
18,15,0.011212698,0.005443057,0.032386191
25,15,0.037304045,0.019032676020408163,0.070991882
3,3,0.002009763,0.008892757,0.002009763
3,6,0.014401327,0.019863899,0.023836679175393376
3,6,0.002803366,0.006120886,0.007345064
25,6,0.004993782,0.0091294,0.004993782
18,6,0.004920964,0.007898819,0.004920964
3,9,0.01373108,0.046388784,0.01373108
25,9,0.006947286,0.018981655737704918,0.006947286
18,9,0.006556017,0.003767826,0.001337578
3,15,0.007068953,0.005890794,0.033695343
18,15,0.008156284,0.003412671,0.05323767
18,15,0.006470482,0.003969621,0.043268867
3,3,0.002122675,0.006760111,0.002122675
18,3,0.002532243,0.005902664,0.002532243
25,3,0.003826883,0.017008369,0.003826883
3,6,0.002042807,0.003577595,0.002042807
18,6,0.004251961,0.005565394,0.004251961
25,6,0.003762749,0.008343124,0.003762749
25,9,0.005132474,0.007570021,0.005132474
3,15,0.004003219,0.001981792,0.011335848
25,15,0.029768952,0.014450947572815535,0.061416527
3,9,0.003503702,0.002520649,0.007133436
25,9,0.004650515,0.019137922,0.004650515
18,9,0.004938722,0.002939715,0.010435989940005837
3,12,0.005505626,0.003008539,0.005505626
18,12,0.0099294,0.006664027,0.041450247
25,12,0.009769808,0.008422248,0.009769808
25,15,0.012222873,0.005738438,0.024273593
3,3,0.00222373,0.009796167,0.00222373
18,3,0.002595496,0.006209321,0.002595496
18,6,0.005582945,0.00247033,0.005582945
18,9,0.005955302,0.003007728,0.016692891969516507
18,12,0.004087441,0.003554297,0.021787837679860304
25,12,0.02159459,0.011188906735751295,0.044867516004880134
25,12,0.013528463,0.00659925,0.026462993
25,6,0.003608784,0.00801952,0.003608784
3,12,0.00543975,0.003038966,0.00543975
3,9,0.003338982,0.002671186,0.006731388
