Line #,Amount PHB [mg],% PHB/gFW
22,0.011727212,0.002577409
22,0.011492779,0.002678969
22,0.012701213,0.003082819
19,0.01253899,0.009951579
24,0.013566672,0.019921692
17,0.013642793,0.00510966
15,0.014022861,0.00306176
2,0.013463179,0.005656798
21,0.013950168,0.004345847
6p1,0.013551063,0.002858874
6p9,0.013523357,0.003863816
6p9,0.013221098,0.008012787
6p1,0.013733445,0.005049061
25,0.013805017,0.032179526806526804
21,0.01318905,0.005887969
12,0.014055488,0.013386179047619049
8,0.013484167,0.004524888
6p1,0.013936281,0.017205285185185184
25,0.014011089,0.047017077
6p9,0.014632395,0.006174006
25,0.014348512,0.025946676311030745
29,0.015582649,0.006110843
15,0.01784215,0.014624713
24,0.016208519,0.025246914330218074
2,0.016212049,0.005034798
24,0.015154303,0.018391144
12,0.015396295,0.005219083
12,0.014537043,0.052291521582733806
29,0.018589138,0.021172139
19,0.021738038,0.008458381
15,0.016507285,0.005376966
19,0.01711176,0.025090557
8,0.017919251,0.006074322
10,0.019699813,0.017908921
31,0.026985702,0.013163757073170732
7,0.022965133,0.033772254
8,0.020452238,0.096472821
28,0.022780686,0.030053675461741425
26,0.022128842,0.019583046017699113
4,0.022008584,0.048584070640176606
18,0.026958347,0.026958347
10,0.023024333,0.018568010483870967
9,0.024550459,0.015737474
26,0.023817687,0.015074485443037976
31,0.025513545,0.009775305
18,0.023927369,0.10403203913043478
29,0.027072322,0.017810738157894735
9,0.030987291,0.015416562686567164
26,0.03030685,0.023863661417322834
31,0.028551033,0.019161767
3,0.082570267,0.035286439
3,0.092353098,0.046176549
3,0.119130065,0.093803201
