Line #,% PHB/gFW,Area
10,0.018238466,44.197
12,0.023632261,187.833
15,0.007687813,179.1416667
17,0.00510966,241.4456667
18,0.065495193,23.90166667
19,0.014500172,90.44333333
2,0.005345798,340.094
21,0.005116908,233.1306667
22,0.002779732,362.6506667
24,0.021186583,52.489
25,0.03504776,23.512
26,0.019507064,78.972
28,0.030053675,30.09633333
29,0.01503124,187.4393333
3,0.058422063,133.1656667
31,0.01403361,97.737
4,0.048584071,17.14066667
6p1,0.008371073,174.9653333
6p9,0.00601687,154.0673333
7,0.033772254,15.79933333
8,0.035690677,128.524
9,0.015577018,74.55066667
