Line #,Amount PHB [mg],% PHB/gFW
Tak2,0.002776025,0.002795594
65,0.002150519,0.002108352
88,0.011255628,0.0352841
112,0.029591724,0.027655816822429905
34,0.002287479,0.002536008
81,0.009791935,0.007710185
58,0.002242219,0.002115301
44,0.001917639,0.001030989
85,0.00199058,0.00182622
101,0.00237399,0.002452469
Tak1,0.001769839,0.001053476
88,0.010160337,0.050801685
101,0.001828817,0.001010396
73,0.002068717,0.001814664
94,0.001605482,0.001155023
94,0.00175753,0.001417363
85,0.001685709,0.001040561
43,0.011685787,0.045469988326848246
53,0.001910456,0.001939549
120,0.002802874,0.003602666
112,0.100140078,0.056576315254237286
67,0.001986179,0.004740284
75,0.002353318,0.001480074
43,0.006760154,0.019259698005698007
122,0.001878452,0.004013786
45,0.001920891,0.002351152
46,0.003764102,0.003937345
35,0.002278078,0.001560327
77,0.001879327,0.002314442
88,0.012153534,0.039204948387096775
120,0.002024935,0.005472797
66,0.00195226,0.002164368
45,0.001938082,0.002597965
122,0.002048484,0.00523909
46,0.003918667,0.004393124
77,0.001924557,0.000833142
67,0.001944524,0.005874695
65,0.002247687,0.00311314
85,0.002112328,0.000902704
Tak2,0.002168491,0.001363831
Tak1,0.001915727,0.001520418
109,0.002634749,0.002271335
94,0.00173919,0.001080242
101,0.002069584,0.001370585
75,0.001835714,0.001456916
81,0.011448422,0.007841385
65,0.001970611,0.002536179
45,0.001854996,0.002213599
34,0.001929348,0.001408283
53,0.00197261,0.001915155
85,0.003849634,0.002769521
44,0.001949392,0.002415603
35,0.001921461,0.007535141
Tak2,0.002864094,0.002255192
Tak1,0.002099544,0.002058376
75,0.002271936,0.001228074
122,0.002745062,0.003206848
77,0.001917349,0.001879754
120,0.002454634,0.00268266
109,0.002673055,0.001770235
34,0.002570296,0.001932553
66,0.00197204,0.001173833
35,0.002790602,0.001777454
58,0.002350354,0.003171868
67,0.002222549,0.009748022
73,0.002488689,0.001765028
46,0.002764192,0.003425269
44,0.00200531,0.00141219
